Cenário,Margem Prevista (%),Delta (p.p.),Custo Total Base (R$/dia),Custo Total Novo (R$/dia),Economia por dia (R$),Economia mensal estimada (R$),Economia anual estimada (R$)
Atual,32.23274404210656,0.0,2037.9838388063224,2037.9838388063224,0.0,0.0,0.0
Otimização Custos,37.97177567527653,5.739031633169972,2037.9838388063224,1866.818685885495,171.1651529208275,5134.954587624825,61619.4550514979
Eficiência Operacional,32.23288805125941,0.000144009152847957,2037.9838388063224,2037.9838388063224,0.0,0.0,0.0
Combinado,37.97708336211647,5.744339320009907,2037.9838388063224,1866.818685885495,171.1651529208275,5134.954587624825,61619.4550514979
